Trait	Intercept	Intercept_SE	GC	GC_SE	PValue
ch1m	l3m	1.1132	0.0354	-0.0207	0.0672	0.758
ch1m	l4m	1.0643	0.0371	-0.0606	0.0685	0.3764
ch1m	l5m	1.0779	0.0262	-0.0881	0.0747	0.2382
ch1m	r10m	1.0005	0.0085	0.0946	0.2187	0.6653
ch1m	r4m	1.0193	0.0068	-0.0538	0.1294	0.6778
ch1m	r5m	1.0084	0.0109	-0.0099	0.067	0.8824
ch1m	r8m	1.008	0.0073	-0.0559	0.0917	0.5422
ch1m	r9m	0.997	0.0064	-0.151	0.1814	0.4052
ch4f	ch4f	0.9972	0.0065	1.0	4.9012e-06	0.0
ch4f	ch5f	0.994	0.0064	0.4238	0.1982	0.0325
ch4f	ch6f	1.003	0.0065	0.2511	0.195	0.1978
ch4f	l1f	1.1172	0.038	0.1696	0.0695	0.0147
ch4f	l2f	1.0827	0.0332	0.0071	0.0717	0.9211
ch4f	l3f	1.1205	0.035	0.0298	0.0695	0.6679
ch4f	l4f	1.0934	0.0338	-0.1714	0.0706	0.0152
ch4f	l5f	1.0983	0.0332	-0.0606	0.0719	0.3992
ch4f	r10f	0.97	0.0092	-0.346	0.1659	0.037
ch4f	r4f	1.0004	0.0067	-0.2931	0.14	0.0364
ch4f	r5f	1.0595	0.0101	-0.1685	0.0961	0.0795
ch4f	r8f	0.9986	0.0076	0.1068	0.1085	0.3249
ch4f	r9f	1.0107	0.0066	-0.1754	0.1694	0.3006
ch4m	ch4f	0.9972	0.0065	0.9037	0.1969	4.4122e-06
ch4m	ch4m	0.9967	0.0061	1.0	1.1571e-06	0.0
ch4m	ch5m	1.0056	0.0062	0.1183	0.1979	0.5499
ch4m	ch6m	0.9895	0.006	0.0002	0.1643	0.9992
ch4m	l1m	1.0937	0.0383	0.0992	0.0512	0.0526
ch4m	l2m	1.067	0.0312	0.104	0.0601	0.0839
ch4m	l3m	1.1109	0.0347	0.0664	0.056	0.2356
ch4m	l4m	1.0605	0.036	-0.1766	0.0583	0.0025
ch4m	l5m	1.0783	0.0257	0.0229	0.0604	0.7048
ch4m	r10m	1.0008	0.0082	-0.2491	0.203	0.2197
ch4m	r4m	1.0195	0.0066	-0.1574	0.1297	0.2251
ch4m	r5m	1.0088	0.0109	-0.1076	0.057	0.0591
ch4m	r8m	1.0074	0.0074	0.0422	0.0923	0.6476
ch4m	r9m	0.9975	0.0064	0.0843	0.1456	0.5628
ch5f	ch5f	0.9941	0.0063	1.0	1.0450e-06	0.0
ch5f	ch6f	1.004	0.0068	1.234	0.2133	7.2187e-09
ch5f	l1f	1.1198	0.0393	0.2024	0.0588	0.0006
ch5f	l2f	1.0868	0.0378	-0.1803	0.0626	0.004
ch5f	l3f	1.126	0.0382	-0.1251	0.0588	0.0333
ch5f	l4f	1.0947	0.0338	-0.1204	0.0635	0.0577
ch5f	l5f	1.1053	0.0367	-0.2115	0.0664	0.0015
ch5f	r10f	0.9707	0.0088	-0.0603	0.1511	0.6899
ch5f	r4f	1.0011	0.0059	-0.0943	0.1059	0.3734
ch5f	r5f	1.0575	0.01	0.1216	0.0766	0.1127
ch5f	r8f	0.9977	0.008	-0.0173	0.0928	0.8521
ch5f	r9f	1.0108	0.0063	-0.2947	0.1541	0.0559
ch5m	ch5f	0.9946	0.0064	1.1368	0.3036	0.0002
ch5m	ch5m	1.0055	0.0062	1.0	6.2132e-07	0.0
ch5m	ch6m	0.9883	0.0064	1.1438	0.2127	7.5572e-08
ch5m	l1m	1.0994	0.0394	0.2428	0.0794	0.0022
ch5m	l2m	1.0689	0.0327	-0.0164	0.0796	0.8366
ch5m	l3m	1.1143	0.0363	-0.0043	0.0748	0.9542
ch5m	l4m	1.0677	0.0386	-0.1802	0.0925	0.0516
ch5m	l5m	1.08	0.0271	-0.1469	0.0886	0.0972
ch5m	r10m	1.0009	0.0084	-0.2473	0.2922	0.3973
ch5m	r4m	1.0197	0.0069	-0.0981	0.1416	0.4883
ch5m	r5m	1.0087	0.0109	0.0111	0.0801	0.8897
ch5m	r8m	1.0092	0.0074	-0.069	0.1248	0.5804
ch5m	r9m	0.9984	0.0068	0.0407	0.21	0.8463
ch6f	ch6f	1.0029	0.0064	1.0	3.2547e-06	0.0
ch6f	l1f	1.1225	0.0401	0.2762	0.0584	2.2868e-06
ch6f	l2f	1.0844	0.0341	-0.181	0.0683	0.008
ch6f	l3f	1.1244	0.0353	-0.0911	0.0634	0.1508
ch6f	l4f	1.0996	0.0356	-0.2207	0.0646	0.0006
ch6f	l5f	1.1011	0.0341	-0.2055	0.0698	0.0032
ch6f	r10f	0.9696	0.0092	0.0885	0.1472	0.5475
ch6f	r4f	1.0001	0.0067	-0.2491	0.1056	0.0184
ch6f	r5f	1.0576	0.0101	0.0029	0.0782	0.97
ch6f	r8f	0.9977	0.0076	0.1122	0.0932	0.2285
ch6f	r9f	1.0098	0.0065	-0.2367	0.1304	0.0695
ch6m	ch6f	1.0026	0.0063	1.0443	0.1802	6.7675e-09
ch6m	ch6m	0.9893	0.0061	1.0	2.6934e-05	0.0
ch6m	l1m	1.0997	0.0397	0.1278	0.0569	0.0247
ch6m	l2m	1.0679	0.0321	-0.0248	0.0688	0.7189
ch6m	l3m	1.1122	0.0359	-0.0271	0.0643	0.6732
ch6m	l4m	1.0667	0.0379	-0.1359	0.0614	0.0269
ch6m	l5m	1.08	0.0264	-0.0678	0.0714	0.3424
ch6m	r10m	0.9996	0.0082	0.0126	0.2057	0.9512
ch6m	r4m	1.017	0.0067	-0.1733	0.1189	0.145
ch6m	r5m	1.0094	0.0109	-0.0905	0.0582	0.1202
ch6m	r8m	1.0085	0.0073	-0.206	0.0883	0.0197
ch6m	r9m	0.9966	0.0063	0.0745	0.1441	0.6049
l1f	l1f	1.1098	0.0344	1.0	3.5635e-08	0.0
l1f	l2f	1.0665	0.0286	-0.1122	0.0238	2.5239e-06
l1f	l3f	1.106	0.03	0.1579	0.024	4.5118e-11
l1f	l4f	1.0788	0.0298	-0.6924	0.0191	2.2407e-288
l1f	l5f	1.0844	0.0286	-0.2742	0.0247	1.4390e-28
l1f	r10f	0.9686	0.0088	-0.1534	0.0431	0.0004
l1f	r4f	0.9988	0.0064	-0.1441	0.0318	5.9627e-06
l1f	r5f	1.0597	0.01	0.075	0.0242	0.0019
l1f	r8f	0.999	0.0074	0.0276	0.0273	0.3132
l1f	r9f	1.0087	0.0063	-0.1186	0.0423	0.0051
l1m	l1f	1.1043	0.032	0.9416	0.0097	0.0
l1m	l1m	1.0823	0.0355	1.0	3.5699e-07	0.0
l1m	l2m	1.0621	0.0281	0.1636	0.0238	6.0642e-12
l1m	l3m	1.0952	0.0299	0.2388	0.0243	8.3215e-23
l1m	l4m	1.0468	0.0328	-0.6698	0.0179	8.5094e-308
l1m	l5m	1.0698	0.023	-0.1165	0.0291	6.3890e-05
l1m	r10m	1.0001	0.0086	-0.0811	0.0661	0.2201
l1m	r4m	1.0175	0.0065	-0.2102	0.0429	9.4811e-07
l1m	r5m	1.0073	0.0113	0.0425	0.0216	0.0495
l1m	r8m	1.0045	0.0072	-0.0398	0.0256	0.1203
l1m	r9m	0.9925	0.0061	-0.0821	0.0395	0.0375
l2f	l2f	1.0735	0.0304	1.0	1.3403e-09	0.0
l2f	l3f	1.1077	0.0285	0.9271	0.0065	0.0
l2f	l4f	1.0814	0.0296	0.362	0.0242	1.5558e-50
l2f	l5f	1.0872	0.0272	0.9604	0.0036	0.0
l2f	r10f	0.9685	0.0088	0.0547	0.0437	0.2108
l2f	r4f	0.9989	0.0062	0.0658	0.0344	0.056
l2f	r5f	1.0585	0.0098	-0.0031	0.0263	0.9063
l2f	r8f	0.9987	0.0072	0.0095	0.0311	0.7589
l2f	r9f	1.0085	0.0063	-0.0618	0.0517	0.2319
l2m	l2f	1.0728	0.0277	0.9102	0.0142	0.0
l2m	l2m	1.0644	0.0287	1.0	4.3356e-08	0.0
l2m	l3m	1.0992	0.0286	0.9423	0.0072	0.0
l2m	l4m	1.0502	0.0326	0.126	0.032	8.0905e-05
l2m	l5m	1.0734	0.0203	0.8852	0.0113	0.0
l2m	r10m	1.0008	0.0086	0.082	0.0658	0.2128
l2m	r4m	1.0178	0.0063	0.0639	0.0435	0.1417
l2m	r5m	1.0077	0.0115	0.0662	0.0228	0.0036
l2m	r8m	1.0046	0.0072	0.0221	0.0342	0.5185
l2m	r9m	0.9924	0.0061	0.0344	0.0599	0.566
l3f	l3f	1.1126	0.0316	1.0	2.0039e-08	0.0
l3f	l4f	1.0816	0.0296	0.28	0.0209	8.1537e-41
l3f	l5f	1.0953	0.0288	0.8761	0.008	0.0
l3f	r10f	0.9687	0.0086	0.0412	0.0418	0.324
l3f	r4f	0.9989	0.0062	0.0531	0.0333	0.1112
l3f	r5f	1.059	0.0099	0.0218	0.0252	0.3868
l3f	r8f	0.9985	0.0072	0.0035	0.0289	0.9037
l3f	r9f	1.0089	0.0064	-0.1062	0.0495	0.0321
l3m	l3f	1.1118	0.0305	0.9516	0.0128	0.0
l3m	l3m	1.1038	0.0313	1.0	4.1086e-08	0.0
l3m	l4m	1.0506	0.0328	0.2356	0.0245	7.2039e-22
l3m	l5m	1.0803	0.0222	0.8998	0.0097	0.0
l3m	r10m	1.0015	0.0086	0.1055	0.0667	0.114
l3m	r4m	1.0181	0.0063	0.072	0.0442	0.1031
l3m	r5m	1.0078	0.0114	0.0596	0.0212	0.0049
l3m	r8m	1.0044	0.0073	0.0441	0.0295	0.1346
l3m	r9m	0.9922	0.006	0.0248	0.05	0.6204
l4f	l4f	1.0835	0.0314	1.0	1.3033e-09	0.0
l4f	l5f	1.0887	0.0295	0.5755	0.0199	2.1669e-184
l4f	r10f	0.9691	0.0088	0.1779	0.0485	0.0002
l4f	r4f	0.9989	0.0062	0.1809	0.034	1.0090e-07
l4f	r5f	1.0602	0.0097	-0.0521	0.0271	0.0542
l4f	r8f	0.9991	0.0074	-0.0088	0.0298	0.7681
l4f	r9f	1.0087	0.0063	-0.016	0.042	0.7038
l4m	l4f	1.0791	0.0283	0.9605	0.0104	0.0
l4m	l4m	1.0499	0.0338	1.0	1.1341e-07	0.0
l4m	l5m	1.0716	0.0233	0.4823	0.0256	6.0246e-79
l4m	r10m	1.0004	0.0087	0.1578	0.0684	0.0212
l4m	r4m	1.0178	0.0064	0.2445	0.0414	3.6284e-09
l4m	r5m	1.0076	0.0111	-0.0105	0.0236	0.6566
l4m	r8m	1.0047	0.0073	0.0651	0.0323	0.0439
l4m	r9m	0.9927	0.0061	0.0647	0.0537	0.2276
l5f	l5f	1.0898	0.0302	1.0	8.5150e-09	0.0
l5f	r10f	0.9687	0.0088	0.072	0.0466	0.1221
l5f	r4f	0.9989	0.0061	0.1172	0.0346	0.0007
l5f	r5f	1.059	0.0097	-0.0146	0.0276	0.5977
l5f	r8f	0.9987	0.0072	0.0024	0.0297	0.9358
l5f	r9f	1.0086	0.0064	-0.0703	0.0487	0.1485
l5m	l5f	1.0901	0.0298	0.9926	0.0162	0.0
l5m	l5m	1.0765	0.0243	1.0	6.0043e-07	0.0
l5m	r10m	1.0002	0.0086	-0.0172	0.0767	0.8229
l5m	r4m	1.0192	0.0066	0.0921	0.0461	0.046
l5m	r5m	1.0085	0.0114	-0.0176	0.0244	0.4693
l5m	r8m	1.0044	0.0074	0.0412	0.0342	0.228
l5m	r9m	0.9924	0.0061	0.0625	0.0557	0.2614
r10f	r10f	0.9685	0.0088	1.0	2.3960e-06	0.0
r10f	r4f	0.9957	0.0086	0.6937	0.0953	3.2733e-13
r10f	r5f	1.0815	0.0139	0.3821	0.0656	5.7896e-09
r10f	r8f	1.001	0.0109	0.2021	0.0755	0.0074
r10f	r9f	1.0041	0.0096	-0.0511	0.115	0.6567
r10m	r10f	0.9694	0.0088	0.9699	0.188	2.4645e-07
r10m	r10m	1.0002	0.0085	1.0	1.6827e-06	0.0
r10m	r4m	1.0107	0.0083	0.8689	0.1779	1.0393e-06
r10m	r5m	1.0232	0.0153	0.5552	0.0979	1.4136e-08
r10m	r8m	1.0001	0.0099	0.1246	0.1027	0.2249
r10m	r9m	1.0057	0.009	0.046	0.1796	0.7978
r4f	r4f	0.9991	0.006	1.0	6.6083e-07	0.0
r4f	r5f	1.0586	0.0097	0.4434	0.0525	3.1279e-17
r4f	r8f	0.9984	0.0074	0.2936	0.0545	7.3114e-08
r4f	r9f	1.0092	0.0064	0.0067	0.0809	0.9344
r4m	r4f	0.9991	0.0061	0.9575	0.0963	2.6877e-23
r4m	r4m	1.0185	0.0064	1.0	2.2169e-06	0.0
r4m	r5m	1.0071	0.0115	0.3573	0.0526	1.1028e-11
r4m	r8m	1.0048	0.0073	0.301	0.065	3.6667e-06
r4m	r9m	0.9949	0.0062	0.0806	0.0995	0.4182
r5f	r5f	1.0586	0.0099	1.0	1.3768e-06	0.0
r5f	r8f	0.9968	0.0078	0.355	0.0389	7.0276e-20
r5f	r9f	1.0093	0.0071	-0.0415	0.07	0.5534
r5m	r5f	1.0583	0.01	0.9944	0.0243	0.0
r5m	r5m	1.0069	0.0112	1.0	4.0988e-07	0.0
r5m	r8m	1.0044	0.0076	0.1606	0.0323	6.6431e-07
r5m	r9m	0.9974	0.0066	0.1064	0.0563	0.0586
r8f	r8f	0.9992	0.0073	1.0	3.9139e-06	0.0
r8f	r9f	1.0094	0.0062	0.1262	0.0717	0.0787
r8m	r8f	0.999	0.0073	0.8092	0.042	6.8883e-83
r8m	r8m	1.0045	0.0073	1.0	1.0720e-08	0.0
r8m	r9m	0.9948	0.0063	0.1342	0.0829	0.1054
r9f	r9f	1.0093	0.0063	1.0	4.2542e-08	0.0
r9m	r9f	1.0093	0.0063	0.9211	0.1419	8.4901e-11
r9m	r9m	0.9935	0.0063	1.0	1.4054e-05	0.0
