CODE NOM_NUM_PLEIO_SUBSETS NOM_NUM_PLEIO_SUBSETS_EMP_P NOM_VERBOSE MARG_NUM_PLEIO_SUBSETS MARG_NUM_PLEIO_SUBSETS_EMP_P MARG_VERBOSE SMALLEST_PLEIO_P_EMP_P
151m:bm1m 0 1 NOT 0 1 NOT 0.601
151m:bm2m 0 1 NOT 0 1 NOT 0.786
151m:bm4m 0 1 NOT 0 1 NOT 0.732
151m:bm5m 4 0.029 MORE 6 0.038 MORE 0.024
151m:bm6m 2 0.0949 NOT 2 0.232 NOT 0.0979
151m:bm7m 0 1 NOT 2 0.198 NOT 0.356
151m:bm8m 2 0.0929 NOT 3 0.141 NOT 0.123
151m:ch1m 1 0.202 NOT 3 0.133 NOT 0.17
151m:ch4m 2 0.0939 NOT 3 0.129 NOT 0.0689
151m:ch5m 0 1 NOT 0 1 NOT 0.493
151m:ch6m 0 1 NOT 0 1 NOT 0.639
151m:l1m 13 0.000999 MORE 16 0.000999 MORE 0.000999
151m:l2m 8 0.005 MORE 11 0.00899 MORE 0.00599
151m:l3m 26 0.000999 MORE 35 0.000999 MORE 0.000999
151m:l4m 31 0.000999 MORE 35 0.000999 MORE 0.000999
151m:l5m 7 0.00799 MORE 8 0.022 MORE 0.002
151m:r10m 0 1 NOT 3 0.147 NOT 0.204
151m:r4m 0 1 NOT 5 0.0629 NOT 0.202
151m:r5m 4 0.026 MORE 4 0.0699 NOT 0.021
151m:r8m 0 1 NOT 0 1 NOT 0.372
151m:r9m 0 1 NOT 0 1 NOT 0.6
152m:157m 25 0.000999 MORE 29 0.000999 MORE 0.000999
152m:163m 60 0.000999 MORE 67 0.000999 MORE 0.000999
152m:169m 55 0.000999 MORE 62 0.000999 MORE 0.000999
152m:175m 90 0.000999 MORE 91 0.000999 MORE 0.000999
152m:181m 101 0.000999 MORE 105 0.000999 MORE 0.000999
152m:187m 107 0.000999 MORE 108 0.000999 MORE 0.000999
152m:4370m 0 1 NOT 4 0.0999 NOT 0.319
152m:4373m 1 0.186 NOT 6 0.042 MORE 0.103
152m:49m 0 1 NOT 0 1 NOT 0.612
152m:52m 1 0.182 NOT 1 0.356 NOT 0.033
152m:97m 0 1 NOT 3 0.146 NOT 0.222
152m:a13m 1 0.17 NOT 3 0.107 NOT 0.12
152m:a1m 0 1 NOT 0 1 NOT 0.746
152m:a21m 0 1 NOT 0 1 NOT 0.943
152m:a22m 3 0.049 MORE 4 0.0819 NOT 0.0639
152m:a27m 5 0.912 NOT 5 0.918 NOT 0.91
152m:a28m 0 1 NOT 0 1 NOT 1
152m:a29m 2 0.0779 NOT 3 0.114 NOT 0.000999
152m:a30m 0 1 NOT 0 1 NOT 0.637
152m:a7m 1 0.191 NOT 1 0.352 NOT 0.19
152m:a8m 1 0.152 NOT 3 0.0979 NOT 0.012
152m:a9m 0 1 NOT 1 0.341 NOT 0.202
152m:ADr1um 2 0.0909 NOT 4 0.0959 NOT 0.0849
152m:bm1m 2 0.0919 NOT 3 0.146 NOT 0.027
152m:bm2m 0 1 NOT 0 1 NOT 0.484
152m:bm4m 0 1 NOT 0 1 NOT 0.698
152m:bm5m 0 1 NOT 0 1 NOT 0.551
152m:bm6m 14 0.002 MORE 23 0.000999 MORE 0.002
